nLayers	time	accuracy
1	0.8572602272033691	0.3764045896086096
2	13.943950653076172	3.9135320999817207
3	9.544916152954102	6.255846344612994
4	17.775616884231567	6.158451032662258
5	8.019684076309204	6.595968815387334
6	13.454253196716309	6.735590629319856
7	17.0482120513916	6.825745420085028
8	17.027459859848022	6.799264214230857
9	18.181246757507324	6.451832031610676
10	15.878484964370728	6.898494875527577
