nLayers	time	accuracy
1	23.838505029678345	0.37640459364839873
2	14672.974500894547	10.227295822370435
3	130.2857551574707	13.259108093700807
4	173.2050757408142	13.35252977886304
5	111.06274604797363	14.010107098040836
6	131.18675804138184	13.796227278095754
7	208.11165595054626	14.010107098040836
8	164.3391489982605	13.875408524143378
9	223.89056777954102	13.750469787535078
10	176.39661407470703	13.750469787535078
