nLayers	time	accuracy
1	2.6450181007385254	0.3764045934103675
2	40.30867099761963	9.207681694084402
3	49.30348610877991	9.816347719561321
4	31.13168501853943	10.070873838756999
5	28.834671020507812	10.46428287059404
6	65.53853583335876	9.955386127367959
7	56.042866945266724	10.643565288599435
8	68.63708591461182	10.59856391299788
9	89.99527335166931	10.211293285440062
10	69.08417677879333	10.470996768241756
