iteration	eps	eta	best
1	0.0001	0.006248829523439348	-4.93201476004444
2	9.323864864368324e-05	0.006245074490681018	-4.932055371032103
3	8.949746893567633e-05	0.006241325456683156	-4.94240459732478
4	8.693445600900217e-05	0.006237582405896089	-4.944748670482758
5	8.499708457906337e-05	0.006233845322825886	-4.961951984227188
6	8.34462306059248e-05	0.006230114192034106	-4.966601893995384
7	8.215709941813504e-05	0.006226388998137539	-4.978998362696948
8	8.105651198853092e-05	0.006222669725807959	-4.984800480193616
9	8.009796945892347e-05	0.006218956359771867	-4.984867008726965
10	7.925013304804718e-05	0.006215248884810248	-4.984867061356209
11	7.84909054106627e-05	0.0062115472857583185	-4.985029542226485
12	7.78041377610559e-05	0.006207851547505283	-4.986531242597268
13	7.71776803725934e-05	0.006204161654994086	-4.987973080447599
14	7.660216926231647e-05	0.0062004775932211695	-4.988137883205864
15	7.607023936737776e-05	0.006196799347236231	-4.989697736878297
16	7.557599641581132e-05	0.006193126902141979	-4.990821471473081
17	7.511465189716686e-05	0.006189460243093897	-4.9923543162171
18	7.468226431453037e-05	0.006185799355300005	-4.9924358837059675
19	7.427555169770553e-05	0.006182144224020619	-4.992969618730077
20	7.389175310232021e-05	0.006178494834568113	-4.994510505399688
21	7.352852453019812e-05	0.0061748511723066935	-4.994842419312766
22	7.318385951309357e-05	0.006171213222652156	-4.994842580488397
23	7.285602767899996e-05	0.006167580971071661	-4.995717587945162
24	7.25435266372782e-05	0.0061639544030834955	-4.995722646713332
25	7.224504386940453e-05	0.00616033350425685	-4.995727160616706
26	7.195942623394726e-05	0.006156718260211587	-4.99926136751389
27	7.168565533460755e-05	0.006153108656618014	-4.999390864289715
28	7.142282745193078e-05	0.0061495046791966565	-4.999492733020093
29	7.117013706275391e-05	0.006145906313718035	-4.999601799401586
30	7.092686320615818e-05	0.006142313546002445	-4.999601799548475
31	7.069235812711223e-05	0.0061387263619197266	-4.99960570722297
32	7.046603775710098e-05	0.006135144747389051	-4.999689222117896
33	7.024737368723894e-05	0.006131568688378696	-4.999696611599811
34	7.003588636232516e-05	0.0061279981709058285	-4.99976732739818
